Rango 1
linha 1;linha 2;linha 3;linha 4;linha 5;linha 6;linha 7;linha 8;linha 9;linha 10;linha 11;linha 12;linha 13;linha 14;linha 15;linha 16;linha 17;linha 18;linha 19;linha 20;linha 21;linha 22;linha 23;linha 24;linha 25;linha 26;linha 27;linha 28;linha 29;linha 30;linha 31;linha 32;linha 33;linha 34;linha 35;linha 36;linha 37;linha 38;linha 39;linha 40;linha 41;linha 42;linha 43;linha 44;linha 45;linha 46;linha 47;linha 48;linha 49;linha 50;linha 51;linha 52;linha 53;linha 54;linha 55;linha 56;linha 57;linha 58;linha 59;linha 60;linha 61;linha 62;linha 63;linha 64;
19;20;18;20;17;19;19;22;17;17;22;19;15;13;19;19;22;21;21;16;18;23;18;21;20;18;19;17;22;19;22;23;19;18;21;19;19;22;17;18;19;17;19;21;18;16;19;17;21;16;19;20;18;17;19;16;18;18;20;21;17;19;19;15;

Rango 2
linha 1;linha 2;linha 3;linha 4;linha 5;linha 6;linha 7;linha 8;linha 9;linha 10;linha 11;linha 12;linha 13;linha 14;linha 15;linha 16;linha 17;linha 18;linha 19;linha 20;linha 21;linha 22;linha 23;linha 24;linha 25;linha 26;linha 27;linha 28;linha 29;linha 30;linha 31;linha 32;linha 33;linha 34;linha 35;linha 36;linha 37;linha 38;linha 39;linha 40;linha 41;linha 42;linha 43;linha 44;linha 45;linha 46;linha 47;linha 48;linha 49;linha 50;linha 51;linha 52;linha 53;linha 54;linha 55;linha 56;linha 57;linha 58;linha 59;linha 60;linha 61;linha 62;linha 63;linha 64;
21;20;16;23;19;18;21;23;17;21;19;14;18;18;20;16;18;19;16;17;19;17;17;22;18;19;19;22;19;20;22;20;21;22;24;17;20;19;19;18;19;21;23;17;20;20;20;17;23;16;18;22;22;21;21;17;22;21;19;20;25;22;21;22;

Rango 3
linha 1;linha 2;linha 3;linha 4;linha 5;linha 6;linha 7;linha 8;linha 9;linha 10;linha 11;linha 12;linha 13;linha 14;linha 15;linha 16;linha 17;linha 18;linha 19;linha 20;linha 21;linha 22;linha 23;linha 24;linha 25;linha 26;linha 27;linha 28;linha 29;linha 30;linha 31;linha 32;linha 33;linha 34;linha 35;linha 36;linha 37;linha 38;linha 39;linha 40;linha 41;linha 42;linha 43;linha 44;linha 45;linha 46;linha 47;linha 48;linha 49;linha 50;linha 51;linha 52;linha 53;linha 54;linha 55;linha 56;linha 57;linha 58;linha 59;linha 60;linha 61;linha 62;linha 63;linha 64;
18;19;23;18;19;20;21;20;18;14;26;19;21;20;20;19;20;19;16;20;19;21;17;21;19;14;18;16;20;21;19;18;23;23;19;18;22;19;21;17;17;17;17;19;21;21;21;24;18;20;20;16;18;18;16;16;19;15;21;18;20;21;20;22;

Rango 4
linha 1;linha 2;linha 3;linha 4;linha 5;linha 6;linha 7;linha 8;linha 9;linha 10;linha 11;linha 12;linha 13;linha 14;linha 15;linha 16;linha 17;linha 18;linha 19;linha 20;linha 21;linha 22;linha 23;linha 24;linha 25;linha 26;linha 27;linha 28;linha 29;linha 30;linha 31;linha 32;linha 33;linha 34;linha 35;linha 36;linha 37;linha 38;linha 39;linha 40;linha 41;linha 42;linha 43;linha 44;linha 45;linha 46;linha 47;linha 48;linha 49;linha 50;linha 51;linha 52;linha 53;linha 54;linha 55;linha 56;linha 57;linha 58;linha 59;linha 60;linha 61;linha 62;linha 63;linha 64;
19;17;17;23;22;19;19;21;21;23;23;19;20;18;22;20;20;20;21;21;17;23;18;19;22;19;21;22;20;19;18;22;21;21;22;20;20;24;20;21;19;19;24;20;21;18;20;21;22;21;19;21;24;20;18;19;18;18;19;20;20;20;21;19;

Rango 5
linha 1;linha 2;linha 3;linha 4;linha 5;linha 6;linha 7;linha 8;linha 9;linha 10;linha 11;linha 12;linha 13;linha 14;linha 15;linha 16;linha 17;linha 18;linha 19;linha 20;linha 21;linha 22;linha 23;linha 24;linha 25;linha 26;linha 27;linha 28;linha 29;linha 30;linha 31;linha 32;linha 33;linha 34;linha 35;linha 36;linha 37;linha 38;linha 39;linha 40;linha 41;linha 42;linha 43;linha 44;linha 45;linha 46;linha 47;linha 48;linha 49;linha 50;linha 51;linha 52;linha 53;linha 54;linha 55;linha 56;linha 57;linha 58;linha 59;linha 60;linha 61;linha 62;linha 63;linha 64;
20;20;21;19;20;20;19;22;19;21;21;16;19;17;16;18;21;18;18;18;20;30;18;20;17;21;21;19;20;20;23;17;24;21;21;16;21;18;15;19;20;21;19;19;22;19;20;21;20;18;17;21;21;23;25;20;20;18;22;21;23;24;19;21;

Rango 6
linha 1;linha 2;linha 3;linha 4;linha 5;linha 6;linha 7;linha 8;linha 9;linha 10;linha 11;linha 12;linha 13;linha 14;linha 15;linha 16;linha 17;linha 18;linha 19;linha 20;linha 21;linha 22;linha 23;linha 24;linha 25;linha 26;linha 27;linha 28;linha 29;linha 30;linha 31;linha 32;linha 33;linha 34;linha 35;linha 36;linha 37;linha 38;linha 39;linha 40;linha 41;linha 42;linha 43;linha 44;linha 45;linha 46;linha 47;linha 48;linha 49;linha 50;linha 51;linha 52;linha 53;linha 54;linha 55;linha 56;linha 57;linha 58;linha 59;linha 60;linha 61;linha 62;linha 63;linha 64;
16;20;21;16;18;20;18;23;20;20;25;17;20;18;19;16;23;22;20;21;22;27;20;24;20;20;22;19;21;20;20;24;25;23;23;23;22;20;21;19;22;18;18;23;21;22;20;22;20;18;22;17;22;21;28;19;18;18;21;18;23;17;19;20;

Rango 7
linha 1;linha 2;linha 3;linha 4;linha 5;linha 6;linha 7;linha 8;linha 9;linha 10;linha 11;linha 12;linha 13;linha 14;linha 15;linha 16;linha 17;linha 18;linha 19;linha 20;linha 21;linha 22;linha 23;linha 24;linha 25;linha 26;linha 27;linha 28;linha 29;linha 30;linha 31;linha 32;linha 33;linha 34;linha 35;linha 36;linha 37;linha 38;linha 39;linha 40;linha 41;linha 42;linha 43;linha 44;linha 45;linha 46;linha 47;linha 48;linha 49;linha 50;linha 51;linha 52;linha 53;linha 54;linha 55;linha 56;linha 57;linha 58;linha 59;linha 60;linha 61;linha 62;linha 63;linha 64;
22;20;22;18;22;20;21;20;19;19;20;21;20;22;21;20;22;23;23;18;22;25;22;22;19;18;22;20;19;19;24;20;21;22;19;20;22;15;21;19;20;20;19;24;18;19;18;22;21;19;19;22;18;22;24;17;20;18;20;18;21;23;21;18;

Rango 8
linha 1;linha 2;linha 3;linha 4;linha 5;linha 6;linha 7;linha 8;linha 9;linha 10;linha 11;linha 12;linha 13;linha 14;linha 15;linha 16;linha 17;linha 18;linha 19;linha 20;linha 21;linha 22;linha 23;linha 24;linha 25;linha 26;linha 27;linha 28;linha 29;linha 30;linha 31;linha 32;linha 33;linha 34;linha 35;linha 36;linha 37;linha 38;linha 39;linha 40;linha 41;linha 42;linha 43;linha 44;linha 45;linha 46;linha 47;linha 48;linha 49;linha 50;linha 51;linha 52;linha 53;linha 54;linha 55;linha 56;linha 57;linha 58;linha 59;linha 60;linha 61;linha 62;linha 63;linha 64;
21;21;19;22;20;24;20;21;21;20;18;22;22;19;20;20;17;21;18;22;22;27;18;18;20;18;18;21;24;18;20;22;24;19;22;21;19;19;23;18;20;22;18;24;20;21;20;23;22;20;18;17;18;21;24;19;19;19;22;21;25;22;20;20;

Rango 9
linha 1;linha 2;linha 3;linha 4;linha 5;linha 6;linha 7;linha 8;linha 9;linha 10;linha 11;linha 12;linha 13;linha 14;linha 15;linha 16;linha 17;linha 18;linha 19;linha 20;linha 21;linha 22;linha 23;linha 24;linha 25;linha 26;linha 27;linha 28;linha 29;linha 30;linha 31;linha 32;linha 33;linha 34;linha 35;linha 36;linha 37;linha 38;linha 39;linha 40;linha 41;linha 42;linha 43;linha 44;linha 45;linha 46;linha 47;linha 48;linha 49;linha 50;linha 51;linha 52;linha 53;linha 54;linha 55;linha 56;linha 57;linha 58;linha 59;linha 60;linha 61;linha 62;linha 63;linha 64;
19;20;19;19;20;20;20;21;18;20;22;19;20;18;19;20;19;17;21;18;20;23;18;22;22;20;20;20;20;16;21;21;19;15;19;20;18;19;19;17;17;18;18;19;19;21;19;19;23;18;20;20;21;24;19;17;23;20;21;27;20;20;17;20;

Rango 10
linha 1;linha 2;linha 3;linha 4;linha 5;linha 6;linha 7;linha 8;linha 9;linha 10;linha 11;linha 12;linha 13;linha 14;linha 15;linha 16;linha 17;linha 18;linha 19;linha 20;linha 21;linha 22;linha 23;linha 24;linha 25;linha 26;linha 27;linha 28;linha 29;linha 30;linha 31;linha 32;linha 33;linha 34;linha 35;linha 36;linha 37;linha 38;linha 39;linha 40;linha 41;linha 42;linha 43;linha 44;linha 45;linha 46;linha 47;linha 48;linha 49;linha 50;linha 51;linha 52;linha 53;linha 54;linha 55;linha 56;linha 57;linha 58;linha 59;linha 60;linha 61;linha 62;linha 63;linha 64;
17;15;21;21;20;22;23;20;20;20;27;20;19;20;20;19;23;18;21;23;19;21;23;21;18;22;19;20;22;19;22;21;22;20;18;19;23;28;21;21;21;19;15;21;22;21;16;21;25;20;20;22;21;19;21;19;19;21;22;23;21;21;21;20;

Rango 11
linha 1;linha 2;linha 3;linha 4;linha 5;linha 6;linha 7;linha 8;linha 9;linha 10;linha 11;linha 12;linha 13;linha 14;linha 15;linha 16;linha 17;linha 18;linha 19;linha 20;linha 21;linha 22;linha 23;linha 24;linha 25;linha 26;linha 27;linha 28;linha 29;linha 30;linha 31;linha 32;linha 33;linha 34;linha 35;linha 36;linha 37;linha 38;linha 39;linha 40;linha 41;linha 42;linha 43;linha 44;linha 45;linha 46;linha 47;linha 48;linha 49;linha 50;linha 51;linha 52;linha 53;linha 54;linha 55;linha 56;linha 57;linha 58;linha 59;linha 60;linha 61;linha 62;linha 63;linha 64;
20;20;20;20;19;23;22;22;20;23;27;23;22;20;22;20;20;20;22;21;23;22;20;23;20;22;21;18;16;20;22;19;20;15;20;21;9;24;21;21;18;21;22;19;19;20;17;23;25;18;21;20;21;21;20;23;23;19;18;25;22;22;21;19;

Rango 12
linha 1;linha 2;linha 3;linha 4;linha 5;linha 6;linha 7;linha 8;linha 9;linha 10;linha 11;linha 12;linha 13;linha 14;linha 15;linha 16;linha 17;linha 18;linha 19;linha 20;linha 21;linha 22;linha 23;linha 24;linha 25;linha 26;linha 27;linha 28;linha 29;linha 30;linha 31;linha 32;linha 33;linha 34;linha 35;linha 36;linha 37;linha 38;linha 39;linha 40;linha 41;linha 42;linha 43;linha 44;linha 45;linha 46;linha 47;linha 48;linha 49;linha 50;linha 51;linha 52;linha 53;linha 54;linha 55;linha 56;linha 57;linha 58;linha 59;linha 60;linha 61;linha 62;linha 63;linha 64;
21;22;24;21;17;21;21;22;21;20;29;21;19;20;21;22;20;21;20;21;20;14;21;21;22;11;15;19;21;19;20;19;20;18;12;15;8;18;18;20;20;18;16;19;19;20;16;17;24;16;15;20;19;22;20;21;24;22;20;24;22;21;18;20;

Rango 13
linha 1;linha 2;linha 3;linha 4;linha 5;linha 6;linha 7;linha 8;linha 9;linha 10;linha 11;linha 12;linha 13;linha 14;linha 15;linha 16;linha 17;linha 18;linha 19;linha 20;linha 21;linha 22;linha 23;linha 24;linha 25;linha 26;linha 27;linha 28;linha 29;linha 30;linha 31;linha 32;linha 33;linha 34;linha 35;linha 36;linha 37;linha 38;linha 39;linha 40;linha 41;linha 42;linha 43;linha 44;linha 45;linha 46;linha 47;linha 48;linha 49;linha 50;linha 51;linha 52;linha 53;linha 54;linha 55;linha 56;linha 57;linha 58;linha 59;linha 60;linha 61;linha 62;linha 63;linha 64;
19;19;22;20;18;19;22;21;20;22;27;19;21;23;24;20;18;22;22;23;24;29;22;21;20;19;21;22;23;20;17;23;17;16;18;24;22;21;23;20;17;20;21;25;20;21;19;21;23;22;19;23;24;19;18;19;21;22;24;21;23;21;21;22;

Rango 14
linha 1;linha 2;linha 3;linha 4;linha 5;linha 6;linha 7;linha 8;linha 9;linha 10;linha 11;linha 12;linha 13;linha 14;linha 15;linha 16;linha 17;linha 18;linha 19;linha 20;linha 21;linha 22;linha 23;linha 24;linha 25;linha 26;linha 27;linha 28;linha 29;linha 30;linha 31;linha 32;linha 33;linha 34;linha 35;linha 36;linha 37;linha 38;linha 39;linha 40;linha 41;linha 42;linha 43;linha 44;linha 45;linha 46;linha 47;linha 48;linha 49;linha 50;linha 51;linha 52;linha 53;linha 54;linha 55;linha 56;linha 57;linha 58;linha 59;linha 60;linha 61;linha 62;linha 63;linha 64;
21;22;24;21;20;20;21;19;21;21;28;23;23;20;22;23;18;20;21;20;24;23;18;17;23;21;18;21;22;21;21;23;23;17;20;18;19;23;22;16;20;18;21;19;16;22;21;21;18;23;18;15;21;22;19;20;23;19;18;23;19;20;17;21;

Rango 15
linha 1;linha 2;linha 3;linha 4;linha 5;linha 6;linha 7;linha 8;linha 9;linha 10;linha 11;linha 12;linha 13;linha 14;linha 15;linha 16;linha 17;linha 18;linha 19;linha 20;linha 21;linha 22;linha 23;linha 24;linha 25;linha 26;linha 27;linha 28;linha 29;linha 30;linha 31;linha 32;linha 33;linha 34;linha 35;linha 36;linha 37;linha 38;linha 39;linha 40;linha 41;linha 42;linha 43;linha 44;linha 45;linha 46;linha 47;linha 48;linha 49;linha 50;linha 51;linha 52;linha 53;linha 54;linha 55;linha 56;linha 57;linha 58;linha 59;linha 60;linha 61;linha 62;linha 63;linha 64;
21;19;23;19;21;24;24;21;17;21;34;20;22;22;21;17;24;22;23;20;22;32;23;21;24;19;21;22;24;17;19;23;22;22;21;19;21;23;20;23;22;20;21;18;20;20;18;21;32;19;23;21;22;23;19;21;23;22;25;22;25;17;20;21;

Rango 16
