meioX,meioY
3241,134
4636,234
2008,133
4977,853
1826,666
4806,396
3331,555
3330,907
158,756
5317,908
4816,685
3678,204
5413,107
1916,446
4636,903
1917,76
3245,266
5321,341
1304,750
4725,257
2542,828
4812,517
5325,193
4722,230
4457,541
2445,444
1567,389
780,839
1914,550
1651,509
1652,824
429,353
513,671
1304,205
4891,691
5060,907
512,301
2446,259
3331,379
4811,217
686,275
514,251
4366,717
4890,85
4460,241
1919,130
2718,212
3331,139
5242,166
1047,773
5150,202
429,155
4546,230
606,83
2005,413
2186,582
2802,640
4543,555
2717,159
5062,705
5585,364
2181,148
3159,149
5237,395
602,198
4116,238
2093,256
1043,654
4456,105
5243,128
2089,382
3243,421
2268,456
5406,707
954,753
2180,662
2270,913
2445,837
4633,381
2540,625
1219,895
2003,525
4204,391
3150,912
3499,282
3418,112
2093,436
4370,654
2538,238
5242,320
4203,571
2267,160
2894,497
3858,243
2625,700
3332,311
779,397
1561,111
4029,396
3674,898
3941,601
5414,315
4891,811
3420,526
4282,581
4634,765
2718,102
250,604
1914,833
1479,244
161,811
2893,369
516,404
4116,902
692,875
3330,678
3589,501
1474,196
1475,804
3850,405
1213,634
2899,194
4895,450
5494,109
4724,365
5405,841
2003,619
2354,900
3329,869
5151,315
332,531
1565,238
950,925
5499,280
4026,444
1479,492
1215,773
76,809
1654,355
3947,352
3674,259
5409,465
955,487
2713,631
1740,655
335,395
66,544
4119,325
2891,540
4120,498
2189,430
1123,877
2445,883
1563,747
2092,689
3243,597
2449,862
4975,314
786,502
605,848
245,659
1915,389
3845,902
1914,901
3680,230
2092,181
78,925
3156,385
4286,330
1827,854
870,123
514,166
4891,520
1483,688
1830,170
4285,873
3072,164
1481,836
1215,468
2892,703
2803,340
2796,614
512,508
2180,538
4547,922
3239,719
1562,625
2001,306
155,384
690,63
3242,532
1044,576
4457,407
332,511
5315,849
4026,482
2443,550
1829,762
2892,647
1658,417
3505,356
4636,281
4202,517
2716,570
5416,509
867,231
687,662
1042,848
4549,97
4285,752
4894,169
2448,84
3856,215
3678,682
3059,916
1485,393
330,821
4028,658
4280,508
3851,527
2713,775
3504,532
1567,665
2970,704
74,130
3855,174
1387,801
2185,285
4717,738
1131,536
4636,118
2186,803
2003,647
1046,149
2714,417
956,298
1218,255
1565,519
4200,644
4633,324
3062,648
426,124
2261,647
3941,835
3245,626
3062,561
781,773
3502,465
3850,442
4031,208
3763,465
686,705
4635,583
5239,679
3333,210
2087,861
2449,292
336,369
1652,308
4970,581
