meioX,meioY
1914,403
4885,177
2785,577
3320,135
4194,237
2787,199
1911,90
2003,331
2171,552
2785,422
1735,100
2527,674
2878,584
5226,580
152,846
3846,575
1919,892
1913,633
5568,833
4450,605
4535,220
2612,211
4278,450
2696,110
2088,468
2963,261
863,381
5229,875
5401,280
2173,644
2785,703
69,677
5229,759
5138,95
5144,458
1913,840
4971,383
2094,580
4537,639
3930,554
1821,131
331,121
3231,335
4537,133
2781,323
3138,126
1207,551
3228,688
3936,712
1828,698
5310,546
4884,658
3670,667
2878,324
5226,612
2961,931
2611,842
4363,450
3137,874
4020,172
2092,73
2430,269
2254,895
3495,663
4799,721
1295,879
1121,564
3049,838
3232,469
4970,715
1823,282
327,852
2346,349
4106,613
421,419
2780,910
3138,348
2438,220
5568,73
2963,602
248,530
2961,133
2345,315
3931,480
5143,135
4113,191
1829,776
2788,254
2437,494
5312,614
2962,562
5398,96
595,206
4020,429
1827,628
1122,92
2961,168
3843,514
2879,401
3494,368
1914,235
420,228
3053,283
4362,227
2966,214
75,398
1652,499
5483,474
4452,344
3048,255
2877,112
2342,605
3321,190
946,251
3932,513
3579,634
4801,269
3406,128
3229,365
72,354
5052,292
2779,885
1031,723
595,150
4621,98
4196,437
1037,134
4886,590
3140,426
510,293
4362,608
420,717
5056,248
422,321
245,119
1920,659
596,379
4104,230
1472,345
5571,181
1119,503
1381,321
677,523
3234,827
4883,211
3406,165
2089,796
952,511
2172,296
2881,736
1035,511
3497,117
2879,153
3929,650
3493,509
1296,435
1828,886
4967,417
3408,477
4804,331
335,451
5485,175
4625,452
4361,368
4368,314
4619,233
4016,761
4020,213
3230,885
2006,604
4105,833
2087,219
3843,874
1204,587
4803,74
3230,636
4108,278
4361,775
5141,588
246,688
4364,412
2519,919
2696,600
3493,340
4189,328
3318,334
862,350
2341,151
3760,472
3134,794
777,667
1649,337
2166,678
3846,345
4280,271
2521,159
4624,339
2612,762
4191,687
4536,807
4709,143
680,201
4194,777
4105,759
3048,436
2435,181
3669,342
1830,342
67,766
421,473
5487,124
592,429
4546,245
2699,762
1479,740
327,487
2002,192
3933,753
678,831
156,664
2607,397
1739,321
1829,301
1036,205
5227,912
2170,817
5311,469
2695,882
770,530
3672,594
1471,267
5051,838
4023,461
4537,547
4707,795
2341,794
4449,911
1385,442
4194,636
5395,347
5485,563
2522,836
2431,837
5312,384
66,160
5141,485
5401,805
2607,251
3664,765
1916,553
3491,172
3325,376
4798,481
595,590
2006,111
3755,263
5570,150
1207,655
3234,296
2091,514
4108,653
2960,745
4711,329
4539,105
4883,364
2346,515
2086,842
3671,550
4624,820
776,424
770,902
3052,87
2003,661
3405,244
5317,302
3228,740
952,231
3235,261
2611,139
947,138
5231,453
3761,167
2610,576
5227,322
2089,121
678,726
2878,840
2005,529
5395,867
2613,726
2340,700
3672,530
3322,685
685,398
5310,237
1036,664
5055,492
861,326
5141,404
2432,644
3931,835
4110,98
1122,376
5485,645
1827,598
3844,89
4189,508
5057,394
4024,104
3237,225
3491,238
3408,89
5399,721
508,906
2612,604
2170,134
3049,163
1212,227
5400,394
4019,614
948,754
4112,307
4189,831
3934,235
856,419
4104,896
4363,120
776,195
860,215
1210,500
776,864
3137,87
4969,176
5311,405
3845,243
4971,777
2785,102
2521,96
423,363
4884,297
334,404
5484,445
1559,794
4454,115
4533,516
2779,625
3932,147
3583,148
2694,412
2871,454
4878,834
3757,316
336,253
4707,415
2877,909
1731,244
4709,709
2088,361
2701,476
1037,838
2697,246
863,448
1120,745
3046,707
3408,511
1644,851
2525,310
3589,676
5056,678
682,454
5228,821
4283,382
4109,141
949,829
2342,535
2781,799
72,236
2000,854
2785,659
2089,628
4537,269
2432,450
3048,660
2882,192
1741,76
157,406
680,148
4282,181
3931,78
1555,351
4799,223
4447,843
1729,483
951,313
5056,707
3585,734
3230,391
3845,750
3848,614
5048,863
3492,821
1561,249
75,843
949,589
4883,567
945,637
5403,162
4887,104
4706,434
3931,116
2696,805
4626,538
4973,898
5312,573
1214,815
4017,833
5230,245
3491,268
333,699
4622,788
4797,878
590,760
3843,468
2877,756
1382,411
4539,299
420,916
1913,319
1479,317
1735,599
3586,894
2516,811
4797,649
4706,198
3842,287
3936,258
585,657
590,785
3232,854
4884,908
3134,227
4802,407
595,900
2875,654
3670,287
73,493
4624,259
1557,736
1555,854
158,362
2873,777
3317,418
3933,172
1475,796
2084,698
3488,546
775,566
1036,912
4195,261
1565,277
3048,600
1643,750
5052,774
3929,852
2522,337
3761,527
2962,498
4795,934
1296,256
5314,170
336,764
3405,198
418,282
4540,697
861,95
1831,92
5395,909
2006,508
242,263
4448,875
2614,450
3932,792
246,734
779,360
3404,867
154,328
4970,759
2426,581
5572,525
773,287
70,436
3053,905
2167,860
2265,391
3050,641
3669,426
1646,877
3407,348
3934,332
417,612
5574,448
3320,522
4624,893
4711,547
4448,678
4020,267
3410,435
1829,175
4110,501
1730,373
1652,636
3233,526
4887,515
157,773
3673,801
157,443
3049,361
4619,912
4363,192
5057,652
155,479
776,841
1732,797
1650,305
1035,575
2524,276
4883,689
2786,531
2003,239
1295,588
4966,557
2258,125
2704,293
1295,139
2959,661
3137,579
5312,686
4361,830
255,68
4448,447
4966,808
5229,476
243,95
1115,888
1037,444
861,679
3318,843
5403,201
2520,392
3842,909
4018,680
861,900
72,897
949,183
151,267
2087,896
4019,76
1561,660
858,285
3228,432
5578,737
5231,385
1731,688
3585,483
3847,179
1472,114
2254,547
504,845
4536,756
3587,373
5313,735
1383,786
5481,79
2699,565
4797,520
243,413
5401,655
4367,286
505,573
2343,451
4279,820
1206,681
4110,725
4275,497
5577,389
