meioX,meioY
2571,2768
1178,415
1938,419
1172,781
3114,2286
2268,1047
2496,804
4580,2651
5355,2718
108,2315
692,773
3043,3627
1346,1102
4475,3007
2003,708
4379,3338
4276,29
3325,2023
594,370
3296,3484
1322,251
3182,1388
1239,676
510,803
2387,722
1120,997
4494,1427
2780,3304
706,1207
3180,2584
4692,2736
3853,2306
3449,63
2787,3330
2052,2568
3210,1937
2278,282
1834,2435
4276,1745
443,901
1949,43
699,1604
4571,944
4010,977
2010,1123
2410,2078
1802,640
3773,3172
2556,2693
5235,543
4304,2242
4746,3380
4640,2918
1699,219
652,602
650,1404
4995,1562
928,558
4831,797
4301,117
2525,2172
2547,1850
5432,579
5159,1852
3118,1108
1959,2988
3618,1225
1092,428
3505,1986
3333,1661
3165,2498
3375,3043
3970,1529
2428,2552
2885,2124
3258,75
3694,2013
4827,2904
527,466
5035,52
2532,2585
811,58
3784,2010
5369,1164
524,1664
4010,119
2037,1264
4121,3031
2533,151
345,3332
4246,2757
4316,663
5050,970
389,1482
4758,63
4582,1836
3292,1048
5202,2888
4635,2463
1118,941
1730,715
1794,3469
3019,3099
1300,2532
652,1804
2871,2451
3688,3195
4252,791
351,524
434,1278
2113,2826
3308,3139
2890,3372
4639,1662
5034,2135
2804,1319
3698,3282
3716,2088
163,538
3841,2243
2852,3621
2368,1477
1091,28
2599,2484
4788,1079
1716,274
30,2378
2832,3102
4455,2907
5020,3331
3012,1480
5276,2799
4442,1623
3787,2811
3215,1130
1406,211
1088,1621
1278,42
1162,2776
3340,1679
3428,1654
3756,2276
1625,299
946,999
3451,3392
1724,322
3566,3476
5455,3154
4034,2260
988,2021
1416,3052
3036,2764
4481,2190
5379,1639
128,2356
4733,2106
2772,2017
2716,166
996,37
5065,2277
2508,2087
3230,1213
2362,619
1851,1257
4296,3405
3452,2987
1460,433
3613,3263
3273,2996
79,2180
3066,880
320,3205
3860,1436
2004,2364
3713,2493
1684,964
3229,1618
4505,2311
2579,1570
4605,702
4514,2770
3038,1980
2339,1740
740,561
3668,3514
459,980
3829,2590
1491,934
2141,2137
4700,2352
5449,1948
2589,2850
3493,3577
4415,2748
4078,2011
1147,2717
3633,37
2107,335
4372,898
3982,1182
2963,2031
3306,2368
606,1604
5204,2497
2371,2301
5396,2897
1189,845
2206,3635
4356,1631
4650,1273
806,1621
2444,2202
4003,507
5018,1252
4733,1250
526,1258
3879,3219
4155,3618
4667,506
3328,2052
971,1135
4228,208
235,457
2023,2441
4859,2207
3241,1253
1890,614
2204,1175
3725,462
4440,2037
1791,222
5171,2748
2973,2081
3402,3177
1828,2789
718,862
4018,2597
3759,1874
3520,2064
3476,1038
2852,3215
4267,2114
836,2587
2795,2136
224,2817
1824,758
2806,2163
5250,3054
4296,977
4241,3556
4781,2297
5433,3484
4791,198
939,2630
4628,3268
1843,2881
638,2145
643,2171
4309,152
2837,2286
2209,1586
2706,112
4869,1002
4251,1197
2913,3016
4298,579
893,3251
2623,3403
3485,1914
5324,2190
3378,3431
5235,1009
4257,2404
2221,26
3378,1003
81,3044
4030,3490
3572,1880
3345,2515
4474,1767
3924,159
5084,2803
699,394
4654,901
4754,1741
993,2854
4804,284
1246,3147
3091,2199
3959,2322
4202,2983
5419,58
3456,2577
3832,2218
4941,2996
1364,2020
979,1543
2966,2441
3364,125
536,510
3221,3160
2609,68
2660,1134
3629,867
1020,930
3536,457
4156,779
5410,2554
5002,1182
4635,1221
2723,2212
1442,3602
4020,1023
3033,1941
4405,602
4365,3272
995,436
2947,1556
4085,1281
3018,2687
4188,62
339,888
1838,388
4233,1946
4391,986
3328,1226
4295,2973
3130,1996
3888,2846
5415,2998
869,300
4512,1102
5246,1858
123,2789
4980,627
832,946
1037,618
986,2430
1849,3291
5353,1538
5385,1234
1447,1971
4276,2905
3023,1519
2178,2690
3467,130
611,2027
3210,2343
5380,2084
1498,974
509,1992
3948,3520
4547,2468
5242,2624
2252,139
1816,330
1490,3397
1345,2742
1757,839
3230,1593
5219,50
1782,160
2821,2246
883,781
3299,3091
2767,1990
5337,3069
794,778
4561,2984
4068,3635
4000,909
3554,2597
2778,1235
5139,972
4565,910
4423,2789
4550,3354
526,835
2956,1988
1092,2880
2979,2104
4652,1725
3321,1610
2097,704
3894,3296
3771,1936
2988,2557
4430,709
3142,2032
4288,2204
1667,2920
1264,1611
1738,780
3667,3104
3589,2358
3934,1367
4180,459
2658,3559
900,831
5181,1180
4668,1379
5216,3357
1755,454
4519,3213
4799,698
2724,1006
1871,3421
1789,586
3762,1903
4133,3523
794,1994
196,2677
3050,2371
2920,1454
4306,3038
3228,1161
3773,234
4946,1773
3668,2310
4929,1268
3143,2436
4706,1140
1185,2460
3737,3402
4978,2718
4634,3313
3076,2515
746,1013
4757,520
1938,813
4475,1351
962,1088
3473,2668
4614,1130
4366,1293
751,1411
4352,2061
4154,1955
5315,480
3814,844
2477,2347
5457,2773
2069,3047
2770,2830
1652,2827
4155,3167
4686,1876
2411,3319
3974,809
3374,186
3831,1349
3960,309
328,839
5125,2538
893,2010
4185,2915
4325,1942
4671,3467
3340,1272
4322,1485
3580,1929
3259,503
4869,2691
1243,1484
3009,2646
3307,3544
3539,2148
1098,2518
2689,2069
2478,2800
375,1036
4667,2205
2147,1730
4831,1684
3848,3065
4644,3352
3299,2720
2586,1196
1434,307
2235,3372
4313,1891
5018,1665
3613,2040
1837,1204
1151,1917
1075,2795
4612,1969
823,2963
284,3097
4939,3383
2995,568
4379,1312
1745,1243
2898,3407
3187,997
1098,2096
3824,1313
5295,2868
3462,3025
3687,2372
4125,612
2395,763
1084,2048
649,2197
5116,455
2370,252
1900,1475
2138,1287
5212,2102
3160,1691
2998,2170
4206,3389
1860,2952
308,742
3281,2631
815,887
2012,3210
785,1558
207,2701
3804,2495
2971,462
4806,1590
4318,3483
2944,1950
1467,1245
2646,2242
1820,309
2842,2313
4906,1184
4019,1753
1156,3162
5291,2034
981,3227
5338,92
2829,2652
4790,1914
5124,1717
860,1883
771,1132
3106,2669
1977,2228
3133,1160
2110,3223
1908,2776
3281,180
1772,1353
3480,3090
5424,2644
2150,3006
4803,1135
3064,3300
4971,215
5113,1245
4620,1578
4269,864
5274,1169
2235,1302
206,716
5408,12
1661,451
3042,1605
1531,2335
3546,1349
2860,1980
3889,413
3964,756
1476,1294
4611,1912
2838,1074
4533,2446
4379,2182
2293,1559
2522,550
1970,145
1731,344
4155,360
4822,3303
1453,3182
2329,2515
4021,1336
3589,1954
3131,3190
3789,2848
503,1159
4412,1481
3119,3535
4140,669
5323,2585
5156,2262
3700,2455
2852,1952
4882,1063
1992,1468
3741,1326
4566,3417
3965,3617
4868,563
2938,2337
1170,1999
38,2864
2765,1159
248,98
1113,2917
2746,1516
5318,909
3650,3025
590,1526
4219,2246
2131,1667
5070,646
5393,388
2640,3474
1316,3442
2544,2245
2192,1525
1516,3091
3626,3346
2884,505
1770,95
3854,1023
5259,2728
4916,775
1035,2628
4166,409
2292,2789
4731,2898
3797,357
1797,1435
4706,698
4128,1076
3957,3584
5412,1791
2675,2374
3510,3244
2861,2404
4085,2884
5260,2331
2864,1200
4866,1837
4598,1891
1779,3001
2877,2485
4703,651
1980,3484
1290,499
2310,2869
2843,3135
4644,859
1524,3544
2301,756
4571,87
354,951
706,826
3742,2628
5283,1634
4700,1943
4728,3285
5276,735
4402,1042
3625,2927
4394,3405
4403,3029
2665,3175
4665,67
2129,2485
2620,1348
3100,624
4861,970
1880,566
1219,1376
3396,2340
1962,1384
3955,1456
3813,2947
5453,636
2091,1894
5202,853
496,1546
1535,3594
1193,2102
2861,1583
2790,2496
4990,3219
3781,1518
2898,2156
3881,2417
713,2054
1014,1740
4153,1169
4696,1065
2367,2707
869,1105
1312,2612
787,3208
5233,115
1745,414
884,2791
5227,1758
4858,2641
2284,2322
3594,294
5075,2336
2676,2843
3843,1796
4595,633
4062,1179
2692,1285
4462,1697
1730,1564
2257,1401
4099,2550
1572,2920
4643,2085
1670,1313
1982,2272
2740,3118
1964,1764
3783,3611
437,496
5162,2302
4390,1391
3628,465
5059,2683
4408,3470
1693,186
4201,1396
4922,3324
5326,3018
1982,195
3915,2145
1607,1851
1046,1039
3197,2290
2623,123
2816,2197
3162,2122
4254,2022
1156,688
2952,2403
2778,2861
2710,3400
5344,2276
4337,3152
5180,1577
3764,3114
985,827
3697,3628
4317,3071
800,403
4475,952
4093,1326
1818,3596
5018,2909
661,1841
3850,1840
5460,3627
1076,363
37,24
4964,3123
4041,1098
1977,1805
1801,1460
5211,2135
1507,1041
2728,3078
2996,3015
3511,2027
4715,737
2045,3373
4912,1589
5163,2702
3749,2251
4338,1184
3506,2395
702,2819
3939,222
1004,858
3727,52
2532,1369
3332,3258
3121,2719
450,139
1157,1958
2495,2035
4772,2250
3413,3232
4122,1457
738,961
4216,1479
3071,503
2575,2371
1695,1852
4020,1004
3704,2053
3173,3367
3646,2612
1300,1711
1649,398
4471,3346
3625,3318
3236,2036
1860,917
4218,1869
3056,3248
4139,3115
1308,1769
616,465
2697,2505
4657,1312
5428,1877
3322,366
1222,3033
2146,2956
540,138
3394,2720
3272,1372
2899,144
3462,2631
1141,1055
778,1927
1103,904
5186,3222
741,2165
1610,2647
2929,1501
2542,1813
3297,1491
3097,2616
4931,855
3316,1966
4602,1078
3814,1259
1990,2307
1747,2871
4416,253
943,610
4006,1296
1964,540
398,1517
5352,3117
4915,2861
1231,2639
3177,2180
4832,1266
5042,3015
1172,378
194,3096
3309,311
2394,1581
4387,2975
4989,3597
422,833
862,2694
3148,2087
4690,590
677,703
5440,3085
1093,477
2419,52
2909,3456
1897,1916
1916,3629
5095,2858
224,777
2891,2540
334,51
4554,855
53,2925
4308,2288
3825,3392
922,1759
1389,1703
1541,2801
621,1670
4675,2257
4720,1169
2621,2170
526,865
4035,1392
4884,3157
5093,3247
825,116
5149,614
1665,2509
4757,2604
5028,2565
4344,2029
4504,651
5330,1858
4227,3080
5295,819
4128,642
1569,1292
4495,3460
1836,805
2621,2589
3867,2363
5178,3585
4406,3062
1895,2692
437,1689
2330,1718
2664,2344
3931,2215
3254,1717
772,1491
1594,1804
971,725
4333,2767
3810,2106
4355,3242
3468,3462
4370,2903
339,1282
3522,2089
4151,722
1010,511
3966,2788
5258,3097
2067,561
2972,64
4011,2967
2805,566
113,2726
3234,2442
1428,3129
1389,897
3683,269
5029,1322
5002,2031
2138,2931
4971,1006
3137,402
2755,3194
1571,486
4932,1692
2098,1526
3587,3185
45,2025
3209,1515
4696,2328
4918,2087
3598,3218
3330,2438
2467,1064
2591,2449
1209,2543
3539,43
3714,387
3257,2920
3569,170
1869,3013
3940,661
1408,3424
5460,3220
4680,1843
4235,2348
4455,3281
4416,652
2169,2243
2442,150
2984,1724
1459,2839
5381,2846
2793,520
11,2240
739,1760
4539,2046
3307,1544
2133,3312
4235,1102
4160,2404
3901,3325
1073,774
4372,61
3385,1460
4461,1291
4490,129
839,1396
1559,2460
4845,2994
2770,3244
907,46
2944,1169
4213,139
2493,1178
4622,1155
3109,3480
5274,2761
3558,1413
1868,3391
3404,315
1745,2846
1430,2329
4496,1860
4874,2725
5361,3542
3830,3019
2827,670
3666,1462
4277,1318
5164,222
830,1755
4579,1377
4203,1815
5018,17
1464,2453
2436,3400
4349,2449
847,1820
3547,2958
673,2284
489,1475
5387,809
5425,989
4276,2482
1756,1283
4662,2997
1276,2856
1177,2020
972,1937
2634,597
1411,2663
2761,2790
2824,1427
4379,2949
3981,2010
157,3394
2901,1354
1834,3246
4845,2154
3550,948
3734,3369
4060,3172
5069,3120
1075,2821
4948,944
1674,2964
3149,1246
5333,1440
3894,1202
3371,2227
3399,1954
2814,602
3743,931
4587,1006
2236,75
3154,448
2792,84
3464,1413
2993,1393
1820,1959
4225,1503
4258,2054
4345,3195
5409,1731
4014,2989
868,3150
3080,3373
1226,3471
2042,1691
3210,3116
3061,27
4330,3114
4088,2507
1180,1620
917,904
961,2696
4139,1115
4098,3350
4303,1425
2081,3509
4693,3130
3747,142
3102,214
1348,2377
4432,754
5372,757
3037,3588
3330,796
3990,2472
1470,2067
2638,1017
952,1874
4301,1001
4621,1996
4341,2002
4184,14
1698,1429
5262,1941
3734,2142
3388,2299
3209,3526
4917,2899
4354,2470
1549,386
4069,1218
831,559
2321,451
3801,3291
2820,2213
1679,516
96,262
3496,3158
3376,2630
5256,1525
1296,529
141,2865
4821,1225
4986,2379
3674,1911
871,706
3437,438
5363,1970
1935,2466
5244,589
1815,1553
4799,1560
3978,2401
1566,2044
2494,3207
3242,851
4592,2282
1238,3092
4465,1721
4234,2298
3534,1306
2475,2769
5202,1669
2455,2686
1584,528
639,949
5457,2435
4889,2337
2275,3544
2259,183
3867,1033
3719,1243
2423,1736
5045,3431
4522,1149
3189,3438
1953,2558
3953,3108
4114,152
5095,1990
2099,1116
5065,1864
3386,239
1154,3577
4351,802
4743,2947
1389,2532
576,1072
5164,663
1591,144
5338,1464
4495,3101
5303,2896
3165,3344
328,1240
3658,1430
4178,2053
2702,485
2923,1095
2068,2638
1659,3316
4759,3445
5083,3191
4947,120
3936,981
3483,3514
3818,92
3275,3406
5139,115
4732,3313
3245,2070
1836,777
4707,1968
2746,1459
3718,430
21,2781
4489,990
1284,1684
71,2985
3202,2668
3467,1831
2598,2877
5258,645
299,3191
1045,2686
4629,1609
2017,740
3660,573
1237,1060
5040,2180
1922,1202
4098,2128
587,1929
3721,2931
4156,1199
5311,2551
3462,1801
2550,1430
2412,832
764,2713
2082,2700
769,3137
2585,796
5125,3360
948,1058
2027,1186
4814,2008
1704,3074
4945,908
5186,1960
3784,3210
2949,2761
4606,1099
4041,3513
1049,1472
3220,3569
5084,2774
4873,3107
2530,3385
5075,3166
2328,1293
4978,1499
682,2321
77,3427
2391,2875
2384,3605
2175,1448
5311,2934
4499,192
4959,2254
1585,1760
2906,1389
5376,2807
4834,850
4678,1005
949,3506
3769,3550
1125,2622
3407,2374
768,1084
1988,1872
4939,2153
178,3023
2251,558
315,784
3958,3146
2602,2081
3480,2298
2338,96
4804,2405
2056,102
1113,2982
3853,3104
5051,2209
1697,619
2793,2088
4118,1022
4773,3478
867,3573
5142,569
4913,2426
3261,3343
5448,2722
4166,2018
2751,2740
1724,2758
4223,1895
4862,3059
529,897
943,1425
1425,1878
1304,1326
1906,2720
1681,1796
5014,2065
4235,271
4298,1811
1321,610
4271,1254
804,3267
4997,1993
4616,2784
2075,602
4777,1831
1464,1612
2609,3342
2803,143
3917,2988
2145,2568
4757,915
84,3478
3967,2368
4450,3240
3100,3039
2947,2355
4137,3087
5337,2650
1018,2552
2282,665
5196,800
4148,1899
1114,524
979,1170
3946,1402
3769,1068
5349,1903
2991,2590
554,987
4845,3396
2753,3588
416,1606
4307,621
4666,1780
1406,2985
4921,1648
2889,3340
2818,2604
4185,2101
3206,1898
566,2238
1180,3242
247,883
1347,1960
3413,2401
2228,1650
3993,2921
4893,2358
3051,2410
1124,574
4806,3227
3383,2699
2325,2932
4114,2162
2904,2583
4055,1510
950,668
3326,1627
3344,46
5277,3174
3361,2566
2275,2732
3586,231
2346,2207
2187,749
1595,2587
1400,972
3834,537
3864,3557
5236,3065
4727,1230
21,2324
1698,1882
3327,3221
3218,2727
4003,93
1506,3471
4580,564
4683,153
3291,2677
4880,2300
1472,2870
1884,3474
2731,611
3002,2205
5382,3268
800,2834
2364,3484
5424,2285
2410,2485
3625,1306
3316,1162
2835,3543
2650,669
2713,1746
3134,1182
945,1454
3198,3049
4116,1002
1153,294
4626,782
3926,1753
2290,2377
4900,697
5154,197
3652,2232
1709,2698
3443,2531
4599,2331
788,2811
3893,2508
4763,952
1233,629
2972,2483
3417,791
5122,1693
2711,2573
3676,1955
5343,1038
4434,3575
915,2113
